Наименование	Ссылка	Значение	Представление	ОтборЗначений
e9d59469-dd41-11e8-83dc-485ab6090f00	e9d5946c-dd41-11e8-83dc-485ab6090f00	ManageConfigurationVersions	Право на изменение состава версий	
e9d59469-dd41-11e8-83dc-485ab6090f00	e9d5946d-dd41-11e8-83dc-485ab6090f00	Administration	Административные функции	
e9d5947a-dd41-11e8-83dc-485ab6090f00	e9d5947b-dd41-11e8-83dc-485ab6090f00		Все объекты	
e9d5947a-dd41-11e8-83dc-485ab6090f00	e9d5947c-dd41-11e8-83dc-485ab6090f00	-objects	Выбранные объекты	
e9d5947f-dd41-11e8-83dc-485ab6090f00	e9d59480-dd41-11e8-83dc-485ab6090f00		Все объекты	
e9d5947f-dd41-11e8-83dc-485ab6090f00	e9d59481-dd41-11e8-83dc-485ab6090f00	-objects	Выбранные объекты	
e9d59484-dd41-11e8-83dc-485ab6090f00	e9d59485-dd41-11e8-83dc-485ab6090f00		Все объекты	
e9d59484-dd41-11e8-83dc-485ab6090f00	e9d59486-dd41-11e8-83dc-485ab6090f00	-objects	Выбранные объекты	
e9d59498-dd41-11e8-83dc-485ab6090f00	e9d59499-dd41-11e8-83dc-485ab6090f00	-GroupByObject	По объектам	
e9d59498-dd41-11e8-83dc-485ab6090f00	e9d5949a-dd41-11e8-83dc-485ab6090f00	-GroupByComment	По комментариям	
e9d594a3-dd41-11e8-83dc-485ab6090f00	e9d594a4-dd41-11e8-83dc-485ab6090f00	/AgentSSHHostKeyAuto	Поиск в каталоге по умолчанию	
e9d594a3-dd41-11e8-83dc-485ab6090f00	e9d594a5-dd41-11e8-83dc-485ab6090f00	/AgentSSHHostKey	Указать вручную	
e9d594a8-dd41-11e8-83dc-485ab6090f00	e9d594a9-dd41-11e8-83dc-485ab6090f00	Одного файла		
e9d594a8-dd41-11e8-83dc-485ab6090f00	e9d594aa-dd41-11e8-83dc-485ab6090f00	Всех файлов каталога		
d3e36de2-dd45-11e8-83dc-485ab6090f00	d3e36de3-dd45-11e8-83dc-485ab6090f00	0	Незащищенное соединение	
d3e36de2-dd45-11e8-83dc-485ab6090f00	d3e36de4-dd45-11e8-83dc-485ab6090f00	1	Защищенное соединение только в процессе выполнения аутентификации	
d3e36de2-dd45-11e8-83dc-485ab6090f00	d3e36de5-dd45-11e8-83dc-485ab6090f00	2	Защищенное соединение в течение всего сеанса	
cc4c1211-dd48-11e8-83dc-485ab6090f00	cc4c1212-dd48-11e8-83dc-485ab6090f00	+	Использовать OpenID-аутентификацию	
